jid,lid
9146,25
25899,331
6257,271
23094,268
25078,367
4699,14
27789,14
29841,25
23578,88
21095,268
12155,268
11759,268
14436,331
28192,404
10162,83
36309,367
14774,326
23332,32
28678,297
26102,286
33535,371
12437,331
26193,404
296,268
32722,268
24846,367
24450,367
36026,429
4863,14
17215,297
4142,254
4923,65
2089,18
5790,404
33458,309
23876,280
25087,429
2143,254
25618,65
747,325
36473,367
28006,25
16490,14
12166,403
18864,268
9528,268
6278,343
35691,331
18390,385
13624,429
28844,343
14840,168
22710,254
9488,88
30491,268
32382,176
5558,404
28785,113
22522,176
32233,53
6044,297
19800,370
25722,14
5703,4
27378,25
25630,425
31227,309
9692,268
12369,331
32782,268
35399,280
22762,13
26559,107
32684,110
15915,25
30259,268
3523,343
12797,219
17654,293
24280,90
26613,343
35014,65
7653,88
25886,14
19609,371
28260,268
23112,18
16059,154
34975,110
14754,343
33078,387
36820,20
9074,232
22673,321
7461,268
10138,331
802,331
35845,343
4646,271
32407,367
32011,367
16885,88
2168,14
7421,88
8197,309
11608,367
31874,254
28512,88
19766,331
22878,322
7625,268
9906,331
8497,197
24777,91
36009,343
21320,65
12380,65
11984,65
31779,367
20695,13
23312,25
2856,14
5915,371
26765,309
18604,47
35414,133
30997,331
9326,429
33236,168
10633,286
32166,254
35280,318
34939,25
25999,25
17253,268
16857,268
19930,331
10198,331
26378,21
29014,83
9377,367
8981,367
538,419
12833,168
30854,403
11564,14
5683,371
28484,268
1352,343
20608,367
24006,190
16571,32
685,65
23715,14
26774,371
4570,6
7875,392
2677,25
10984,112
20222,331
31686,152
32462,373
19638,280
9968,404
13375,343
1176,302
32708,25
21192,14
15311,371
23372,25
22028,286
4910,47
26445,88
8363,331
7146,367
29712,367
33007,65
11914,369
14982,88
26938,371
10656,404
3942,6
10260,404
1468,302
8267,219
22606,118
7009,254
33000,25
21484,14
3123,88
1282,297
11965,307
14790,268
5454,268
11144,343
10748,343
36708,47
29082,321
32814,20
3461,83
35491,83
21537,25
3851,268
35485,268
28222,402
26021,268
31711,343
30057,378
18541,367
30588,14
27231,192
19072,3
24418,268
32921,267
35841,88
9980,363
10412,20
6146,387
21701,25
12365,25
12559,268
3619,268
3223,268
29326,280
5900,331
36045,268
31607,343
1626,83
15533,325
7850,65
3125,110
3579,88
24475,371
35609,88
25584,243
14464,232
29873,45
19021,14
7505,3
14752,110
28164,373
6744,90
35813,268
17955,219
36289,197
7087,429
21751,88
22923,309
26759,331
33774,88
13700,371
28961,286
23450,176
8634,123
14475,367
1839,325
14079,367
17186,14
25116,151
36007,110
10344,370
21519,88
1156,268
33582,268
23850,268
24982,336
10976,88
22247,268
30469,25
524,176
9137,343
10394,83
14243,367
13847,367
4907,367
31147,88
11073,371
34746,197
16136,321
31485,83
6218,343
33092,232
2384,367
6512,66
31157,25
23096,371
22411,268
3055,13
8349,88
26582,14
12581,110
10552,268
17250,133
23622,13
17304,369
14723,14
19976,88
27075,297
8116,267
15559,286
14530,373
23639,367
30337,232
25879,429
5841,369
26350,14
4187,404
11382,321
23484,429
11192,197
15411,14
17067,25
20140,88
23533,321
31807,268
14298,373
36705,343
27825,394
13761,168
36515,219
15068,25
1768,3
3901,168
19696,47
20633,371
19552,268
31709,83
31466,325
308,254
8233,47
10910,110
24322,373
6620,83
8485,268
14402,322
24918,404
19219,243
33035,367
11104,326
6049,267
28800,47
